Unnamed: 0,text,label,clean_text
0,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",0,march th booklet download time count
1,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",0,order help increas booklet download would great stormfront youtub account could display follow text descript box upload youtub video
2,( Simply copy and paste the following text into your YouTube videos description boxes. ),0,simpli copi past follow text youtub video descript box
3,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1,click free download color illustr page ebook zionistengin intent destruct western civil
4,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,0,click download mb green banner link
5,"Booklet updated on Feb. 14th , 2014 .",0,booklet updat feb th
6,"( Now with over 18,300 Downloads. )",0,download
7,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,0,pdf file httpwwwmediafirecomdownloadppgoadvvqvsfwndebatebookletpdfmswordfilehttpwwwmediafirecomdownloadpsezkkkdawtwndebatebooklet docx watch hour video version zionist attack western civil httptrutubetvvideothezionistattackonwesterncivilizationpagespartofbannedfromyoutubenotepadpromotionalyoutubecommenthttpwwwmediafirecomdownloadfgftlyfruzbooklet white yt comment hyperlink txt httpwwwmediafirecomdownloadzcnwozjbwnezmsbookletwhiteytcom hyperlinkedbackup dtxt httpwwwmediafirecomdownloaduyudqyuxudurbookletcommentfirefoxtxtminutepromotionalbookletvideohttpwwwyoutubecomwatch v hgalpm interest help spread booklet download link across world
8,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,0,simpli copi text link past descript box youtub video
9,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,0,thank advanc download youtub descript box info text file httpwwwmediafirecomdownloaddqhnczprrobookletdescriptionbox infotxt
10,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",1,may may jew certainli stupid seem think black wo nt kill alongsid everi white get dirti hand muppet
11,Thank you for the info. i will deffinetly look into them .,0,thank info deffinetli look
12,I hope there is room for one more as i am very excited about this .,0,hope room one excit
13,I just came across this piece of garbage .,0,came across piec garbag
